GeoID,County,State,PercentRural,Rural
13157,Jackson County, Georgia,60.0,Suburban
13159,Jasper County, Georgia,81.8,Suburban
13161,Jeff Davis County, Georgia,69.5,Suburban
13163,Jefferson County, Georgia,80.7,Suburban
13165,Jenkins County, Georgia,66.1,Suburban
13167,Johnson County, Georgia,65.4,Suburban
13169,Jones County, Georgia,67.7,Suburban
13171,Lamar County, Georgia,60.9,Suburban
13173,Lanier County, Georgia,71.1,Suburban
13175,Laurens County, Georgia,56.6,Suburban
13177,Lee County, Georgia,36.2,Urban
13179,Liberty County, Georgia,23.2,Urban
13181,Lincoln County, Georgia,100.0,Rural
13183,Long County, Georgia,81.3,Suburban
13185,Lowndes County, Georgia,27.2,Urban
13187,Lumpkin County, Georgia,83.9,Suburban
13189,McDuffie County, Georgia,61.0,Suburban
13191,McIntosh County, Georgia,74.3,Suburban
13193,Macon County, Georgia,53.2,Suburban
13195,Madison County, Georgia,91.9,Suburban
13197,Marion County, Georgia,100.0,Rural
13199,Meriwether County, Georgia,83.3,Suburban
13201,Miller County, Georgia,100.0,Rural
13205,Mitchell County, Georgia,54.5,Suburban
13207,Monroe County, Georgia,80.2,Suburban
13209,Montgomery County, Georgia,98.7,Suburban
13211,Morgan County, Georgia,75.4,Suburban
13213,Murray County, Georgia,70.1,Suburban
13215,Muscogee County, Georgia,3.0,Urban
13217,Newton County, Georgia,31.2,Urban
13219,Oconee County, Georgia,50.3,Suburban
13221,Oglethorpe County, Georgia,99.3,Suburban
13223,Paulding County, Georgia,20.1,Urban
13225,Peach County, Georgia,38.2,Urban
13227,Pickens County, Georgia,73.1,Suburban
13229,Pierce County, Georgia,79.4,Suburban
13231,Pike County, Georgia,99.0,Suburban
13233,Polk County, Georgia,51.4,Suburban
13235,Pulaski County, Georgia,66.7,Suburban
13237,Putnam County, Georgia,80.9,Suburban
13239,Quitman County, Georgia,73.1,Suburban
13241,Rabun County, Georgia,79.3,Suburban
13243,Randolph County, Georgia,50.6,Suburban
13245,Richmond County, Georgia,9.2,Urban
13247,Rockdale County, Georgia,14.9,Urban
13249,Schley County, Georgia,100.0,Rural
13251,Screven County, Georgia,78.9,Suburban
13253,Seminole County, Georgia,68.6,Suburban
13255,Spalding County, Georgia,41.6,Urban
13257,Stephens County, Georgia,58.6,Suburban
13259,Stewart County, Georgia,100.0,Rural
13261,Sumter County, Georgia,41.8,Urban
13263,Talbot County, Georgia,93.9,Suburban
13265,Taliaferro County, Georgia,100.0,Rural
13267,Tattnall County, Georgia,68.2,Suburban
13269,Taylor County, Georgia,100.0,Rural
13271,Telfair County, Georgia,47.0,Urban
13273,Terrell County, Georgia,51.0,Suburban
13275,Thomas County, Georgia,46.0,Urban
13277,Tift County, Georgia,40.8,Urban
13279,Toombs County, Georgia,51.1,Suburban
13281,Towns County, Georgia,100.0,Rural
13283,Treutlen County, Georgia,58.9,Suburban
13285,Troup County, Georgia,44.3,Urban
13287,Turner County, Georgia,49.7,Urban
13289,Twiggs County, Georgia,100.0,Rural
13291,Union County, Georgia,100.0,Rural
13293,Upson County, Georgia,46.9,Urban
13295,Walker County, Georgia,43.9,Urban
13297,Walton County, Georgia,42.7,Urban
13299,Ware County, Georgia,29.4,Urban
13301,Warren County, Georgia,100.0,Rural
13303,Washington County, Georgia,65.6,Suburban
13305,Wayne County, Georgia,57.9,Suburban
13307,Webster County, Georgia,100.0,Rural
13309,Wheeler County, Georgia,100.0,Rural
13311,White County, Georgia,83.8,Suburban
13313,Whitfield County, Georgia,29.1,Urban
13315,Wilcox County, Georgia,100.0,Rural
13317,Wilkes County, Georgia,67.4,Suburban
13319,Wilkinson County, Georgia,100.0,Rural
13321,Worth County, Georgia,69.2,Suburban
15001,Hawaii County, Hawaii,38.0,Urban
15003,Honolulu County, Hawaii,0.9,Urban
15005,Kalawao County, Hawaii,100.0,Rural
15007,Kauai County, Hawaii,12.9,Urban
15009,Maui County, Hawaii,14.6,Urban
16001,Ada County, Idaho,5.5,Urban
16003,Adams County, Idaho,100.0,Rural
16005,Bannock County, Idaho,15.7,Urban
16007,Bear Lake County, Idaho,100.0,Rural
16009,Benewah County, Idaho,71.9,Suburban
16011,Bingham County, Idaho,56.0,Suburban
16013,Blaine County, Idaho,32.8,Urban
16015,Boise County, Idaho,100.0,Rural
16017,Bonner County, Idaho,72.4,Suburban
16019,Bonneville County, Idaho,12.9,Urban
16021,Boundary County, Idaho,76.2,Suburban
16023,Butte County, Idaho,100.0,Rural
16025,Camas County, Idaho,100.0,Rural
16027,Canyon County, Idaho,19.9,Urban
16029,Caribou County, Idaho,59.9,Suburban
16031,Cassia County, Idaho,51.5,Suburban
16033,Clark County, Idaho,100.0,Rural
16035,Clearwater County, Idaho,58.6,Suburban
16037,Custer County, Idaho,100.0,Rural
16039,Elmore County, Idaho,26.9,Urban
16041,Franklin County, Idaho,66.2,Suburban
16043,Fremont County, Idaho,72.0,Suburban
16045,Gem County, Idaho,45.0,Urban
16047,Gooding County, Idaho,58.1,Suburban
16049,Idaho County, Idaho,80.6,Suburban
16051,Jefferson County, Idaho,66.6,Suburban
16053,Jerome County, Idaho,51.3,Suburban
16055,Kootenai County, Idaho,24.2,Urban
16057,Latah County, Idaho,35.0,Urban
16059,Lemhi County, Idaho,61.1,Suburban
16061,Lewis County, Idaho,100.0,Rural
16063,Lincoln County, Idaho,100.0,Rural
16065,Madison County, Idaho,28.5,Urban
16067,Minidoka County, Idaho,44.2,Urban
16069,Nez Perce County, Idaho,19.2,Urban
16071,Oneida County, Idaho,100.0,Rural
16073,Owyhee County, Idaho,77.3,Suburban
16075,Payette County, Idaho,42.7,Urban
16077,Power County, Idaho,42.6,Urban
16079,Shoshone County, Idaho,56.0,Suburban
16081,Teton County, Idaho,100.0,Rural
16083,Twin Falls County, Idaho,28.0,Urban
16085,Valley County, Idaho,100.0,Rural
16087,Washington County, Idaho,45.6,Urban
17001,Adams County, Illinois,32.6,Urban
17003,Alexander County, Illinois,61.9,Suburban
17005,Bond County, Illinois,60.7,Suburban
17007,Boone County, Illinois,19.4,Urban
17009,Brown County, Illinois,41.1,Urban
17011,Bureau County, Illinois,57.4,Suburban
17013,Calhoun County, Illinois,100.0,Rural
17015,Carroll County, Illinois,81.9,Suburban
17017,Cass County, Illinois,52.1,Suburban
17019,Champaign County, Illinois,12.7,Urban
17021,Christian County, Illinois,43.5,Urban
17023,Clark County, Illinois,59.5,Suburban
17025,Clay County, Illinois,64.7,Suburban
17027,Clinton County, Illinois,48.8,Urban
17029,Coles County, Illinois,24.3,Urban
17031,Cook County, Illinois,0.0,Urban
17033,Crawford County, Illinois,60.2,Suburban
17035,Cumberland County, Illinois,100.0,Rural
17037,DeKalb County, Illinois,20.3,Urban
17039,De Witt County, Illinois,48.8,Urban
17041,Douglas County, Illinois,61.6,Suburban
17043,DuPage County, Illinois,0.0,Urban
17045,Edgar County, Illinois,51.8,Suburban
17047,Edwards County, Illinois,100.0,Rural
17049,Effingham County, Illinois,59.7,Suburban
17051,Fayette County, Illinois,67.0,Suburban
17053,Ford County, Illinois,41.8,Urban
